Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_steps"">Total Steps</span>",Media
678633232,"Aug 16, 2016, 9:05:22 PM",Night Run,Run,,2097,3.99,,,false,,,activities/678633232.gpx,75.0,,2097.0,1373.0,3991.800048828125,8.699999809265137,,0.0,,7.0,16.799999237060547,9.399999618530273,-0.0025051399134099483,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
681978643,"Aug 19, 2016, 9:15:15 PM",Night Run,Run,,2125,4.28,,,false,,,activities/681978643.gpx,75.0,,2125.0,1424.0,4279.7998046875,8.0,,0.0,,7.0,12.899999618530273,3.200000047683716,0.0023365600500255823,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
698278305,"Sep 2, 2016, 9:36:22 PM",Night Run,Run,"",1147,3.03,,,false,,,activities/698278305.gpx,75.0,,1147.0,1087.0,3032.699951171875,8.0,,0.0,,7.0,13.0,3.0999999046325684,0.07583999633789062,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
710126276,"Sep 12, 2016, 8:58:13 PM",Night Run,Run,,667,1.64,,,false,,,activities/710126276.gpx,75.0,,667.0,587.0,1639.699951171875,8.100000381469727,,0.0,,7.5,13.0,2.799999952316284,-0.067085400223732,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
710129090,"Sep 12, 2016, 9:12:00 PM",Night Run,Run,,59,0.24,,,false,,,activities/710129090.gpx,75.0,,59.0,53.0,240.3000030517578,7.900000095367432,,0.0,,10.5,13.0,2.799999952316284,0.6658340096473694,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
727126846,"Sep 27, 2016, 9:03:24 PM",Night Run,Run,,304,1.03,,,false,,,activities/727126846.gpx,75.0,,304.0,295.0,1037.0,6.900000095367432,,0.0,,8.899999618530273,13.0,2.5999999046325684,0.13500499725341797,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
727131503,"Sep 27, 2016, 9:13:51 PM",Night Run,Run,,41,0.20,,,false,,,activities/727131503.gpx,75.0,,41.0,34.0,202.5,7.800000190734863,,0.0,,10.600000381469727,13.0,1.399999976158142,-0.7407410144805908,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
727136182,"Sep 27, 2016, 9:15:54 PM",Night Run,Run,,272,0.86,,,false,,,activities/727136182.gpx,75.0,,272.0,272.0,863.9000244140625,10.199999809265137,,0.0,,7.0,11.800000190734863,2.5,-0.3819890022277832,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
732527579,"Oct 2, 2016, 8:56:43 PM",Night Run,Run,,399,0.89,,,false,,,activities/732527579.gpx,75.0,,399.0,368.0,890.5999755859375,10.199999809265137,,0.0,,9.0,13.0,2.9000000953674316,0.41545000672340393,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
732537656,"Oct 2, 2016, 9:05:22 PM",Night Run,Run,,745,1.02,,,false,,,activities/732537656.gpx,75.0,,745.0,309.0,1020.7999877929688,8.399999618530273,,0.0,,10.5,13.0,2.9000000953674316,-0.11755499988794327,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
